Field=#~Integer~#~50|Field=ItemType~String~ItemType~100|Field=DesignItemId~String~DesignItemId~200|Field=Description~String~Description~300|Field=Designator~String~Designator~500|Field=Comment~String~Comment~200|Field=Quantity~Integer~Quantity~70|Field=Manufacturer~String~Manufacturer~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=PartNumber~String~PartNumber~100|Field=Supplier~String~Supplier~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~100|Field=Supplier Part Number~String~Supplier Part Number~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Stock 1~String~Supplier Stock 1~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|Field=Manufacturer Part Number~String~Manufacturer Part Number~100|ReportField=Currency~USD|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~signal_conversion_board_2+3channels.PrjPcb|ReportField=ProjectFullPath~D:\SVN_neu\Duplicating_FPGA_box\signal_conversion_board_2+3channels\signal_conversion_board_2+3channels.PrjPcb|ReportField=Title~Bill of Materials For BOM Document [BOM2.BomDoc]|ReportField=TotalQuantity~112|ReportField=ReportTime~18:02:57|ReportField=ReportDate~24.11.2020|ReportField=ReportDateTime~24.11.2020 18:02:57|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~24.11.2020|ReportField=CurrentTime~17:09:59|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\SVN_neu\Duplicating_FPGA_box\signal_conversion_board_2+3channels\Sheet1.SchDoc|ReportField=DocumentName~Sheet1.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~19.11.2020|ReportField=Organization~|ReportField=ProjectName~signal_conversion_board_2+3channels.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~.1|ReportField=SheetTotal~7|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~BOM2.BomDoc|ReportField=DataSourceFullPath~D:\SVN_neu\Duplicating_FPGA_box\signal_conversion_board_2+3channels\BOM2.BomDoc|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|Core-Managed|CMP-001-0071-1|2Pol; gerade; WR-PHD 2.54 mm THT Pin Header|1.25V|61300211121|1|Wurth Electronics|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DMouser%26sku%3D710-61300211121%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DMouser%26sku%3D710-61300211121%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61300211121{URL.TIP}Manufacturer|61300211121|Mouser|Mouser|USD|1|710-61300211121|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DMouser%26sku%3D710-61300211121%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}710-61300211121{URL.TIP}Supplier|30823||0,13|61300211121
2|Core-Managed|CMP-001-0071-1|2Pol; gerade; WR-PHD 2.54 mm THT Pin Header|2V|61300211121|1|Wurth Electronics|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DMouser%26sku%3D710-61300211121%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DMouser%26sku%3D710-61300211121%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61300211121{URL.TIP}Manufacturer|61300211121|Mouser|Mouser|USD|1|710-61300211121|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DMouser%26sku%3D710-61300211121%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}710-61300211121{URL.TIP}Supplier|30823||0,13|61300211121
3|Core-Managed|CMP-001-0071-1|2Pol; gerade; WR-PHD 2.54 mm THT Pin Header|3V|61300211121|1|Wurth Electronics|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DMouser%26sku%3D710-61300211121%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DMouser%26sku%3D710-61300211121%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61300211121{URL.TIP}Manufacturer|61300211121|Mouser|Mouser|USD|1|710-61300211121|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DMouser%26sku%3D710-61300211121%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}710-61300211121{URL.TIP}Supplier|30823||0,13|61300211121
4|Core-Managed|CMP-001-0071-1|2Pol; gerade; WR-PHD 2.54 mm THT Pin Header|4V|61300211121|1|Wurth Electronics|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DMouser%26sku%3D710-61300211121%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DMouser%26sku%3D710-61300211121%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61300211121{URL.TIP}Manufacturer|61300211121|Mouser|Mouser|USD|1|710-61300211121|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DMouser%26sku%3D710-61300211121%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}710-61300211121{URL.TIP}Supplier|30823||0,13|61300211121
5|Core-Managed|CMP-001-0071-1|2Pol; gerade; WR-PHD 2.54 mm THT Pin Header|J100|61300211121|1|Wurth Electronics|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DMouser%26sku%3D710-61300211121%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DMouser%26sku%3D710-61300211121%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61300211121{URL.TIP}Manufacturer|61300211121|Mouser|Mouser|USD|1|710-61300211121|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DMouser%26sku%3D710-61300211121%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}710-61300211121{URL.TIP}Supplier|30823||0,13|61300211121
6|Core-Managed|CMP-001-0071-1|2Pol; gerade; WR-PHD 2.54 mm THT Pin Header|J_A1|61300211121|1|Wurth Electronics|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DMouser%26sku%3D710-61300211121%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DMouser%26sku%3D710-61300211121%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61300211121{URL.TIP}Manufacturer|61300211121|Mouser|Mouser|USD|1|710-61300211121|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DMouser%26sku%3D710-61300211121%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}710-61300211121{URL.TIP}Supplier|30823||0,13|61300211121
7|Core-Managed|CMP-001-0071-1|2Pol; gerade; WR-PHD 2.54 mm THT Pin Header|J_A2|61300211121|1|Wurth Electronics|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DMouser%26sku%3D710-61300211121%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DMouser%26sku%3D710-61300211121%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61300211121{URL.TIP}Manufacturer|61300211121|Mouser|Mouser|USD|1|710-61300211121|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DMouser%26sku%3D710-61300211121%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}710-61300211121{URL.TIP}Supplier|30823||0,13|61300211121
8|Core-Managed|CMP-001-0071-1|2Pol; gerade; WR-PHD 2.54 mm THT Pin Header|J_B1|61300211121|1|Wurth Electronics|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DMouser%26sku%3D710-61300211121%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DMouser%26sku%3D710-61300211121%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61300211121{URL.TIP}Manufacturer|61300211121|Mouser|Mouser|USD|1|710-61300211121|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DMouser%26sku%3D710-61300211121%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}710-61300211121{URL.TIP}Supplier|30823||0,13|61300211121
9|Core-Managed|CMP-001-0071-1|2Pol; gerade; WR-PHD 2.54 mm THT Pin Header|J_B2|61300211121|1|Wurth Electronics|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DMouser%26sku%3D710-61300211121%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DMouser%26sku%3D710-61300211121%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61300211121{URL.TIP}Manufacturer|61300211121|Mouser|Mouser|USD|1|710-61300211121|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DMouser%26sku%3D710-61300211121%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}710-61300211121{URL.TIP}Supplier|30823||0,13|61300211121
10|Core-Managed|CMP-001-0071-1|2Pol; gerade; WR-PHD 2.54 mm THT Pin Header|J_C1|61300211121|1|Wurth Electronics|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DMouser%26sku%3D710-61300211121%26country%3DDE%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DMouser%26sku%3D710-61300211121%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61300211121{URL.TIP}Manufacturer|61300211121|Mouser|Mouser|USD|1|710-61300211121|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DMouser%26sku%3D710-61300211121%26country%3DDE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}710-61300211121{URL.TIP}Supplier|30823||0,13|61300211121
